,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,MONEY,Year
0,Matt Kuchar,97,69.606,286.9,67.89,69.36,.648,.827,1.461,"2,728",11,1,"4,910,477",2010
1,Steve Stricker,73,69.660,282.9,68.50,68.29,.437,1.383,1.818,"2,028",9,2,"4,190,235",2010
2,Retief Goosen,75,69.718,291.4,64.79,65.96,.679,.917,1.598,"1,360",10,,"3,218,089",2010
3,Paul Casey,64,69.720,294.2,61.31,68.68,.812,.587,1.411,"2,250",7,,"3,613,194",2010
4,Jim Furyk,76,69.828,276.0,71.01,67.12,.402,1.159,1.564,"2,980",7,3,"4,809,622",2010
5,Ernie Els,72,69.843,288.4,60.16,67.86,.330,.992,1.322,"1,438",7,2,"4,558,861",2010
6,Luke Donald,71,69.850,277.0,62.36,65.28,.870,.619,1.493,"2,700",7,,"3,665,234",2010
7,Justin Rose,78,69.885,287.8,65.17,66.31,.243,.952,1.195,718,4,2,"3,603,331",2010
8,Bo Van Pelt,104,69.955,292.0,65.23,69.23,.098,1.091,1.192,445,8,,"3,336,258",2010
9,Phil Mickelson,76,69.966,299.1,52.66,65.13,-.147,1.151,1.001,843,6,1,"3,821,733",2010
10,J.B. Holmes,100,70.089,307.2,54.45,65.50,.064,.868,.936,"1,501",3,,"2,386,248",2010
11,K.J. Choi,82,70.099,283.1,65.99,68.52,.054,.927,.984,718,4,,"2,199,962",2010
12,Robert Allenby,76,70.131,289.1,64.75,68.17,.137,1.014,1.156,500,5,,"2,974,997",2010
13,Dustin Johnson,83,70.135,308.5,56.35,67.95,.112,.869,.979,"2,493",7,2,"4,473,122",2010
14,Padraig Harrington,57,70.174,292.1,56.70,61.90,.267,.799,1.063,772,5,,"1,381,453",2010
15,Dean Wilson,54,70.223,281.6,67.37,68.98,.781,-.044,.736,434,1,,"832,640",2010
16,Bubba Watson,77,70.229,309.8,55.67,68.54,-.077,.770,.695,600,4,1,"3,198,998",2010
17,Ben Crane,85,70.234,282.3,71.13,68.22,.266,.594,.862,550,5,1,"2,841,500",2010
18,Tim Clark,88,70.246,272.2,73.72,66.73,.269,.564,.832,593,7,1,"3,530,002",2010
19,Charley Hoffman,85,70.254,298.2,61.59,66.53,.104,.889,.995,"2,500",5,1,"2,559,646",2010
20,Brandt Snedeker,89,70.258,277.1,64.27,62.36,.464,.109,.572,"1,470",5,,"1,602,690",2010
21,Jason Day,82,70.274,298.2,57.78,67.68,-.009,.752,.738,"1,660",5,1,"2,904,327",2010
22,Charlie Wi,95,70.284,281.2,64.19,66.55,.574,.120,.679,"1,560",4,,"1,568,492",2010
23,Nick Watney,91,70.291,296.5,62.63,69.63,.090,.806,.915,880,8,,"2,536,714",2010
24,Charles Howell III,103,70.292,294.3,54.58,68.57,.452,.329,.784,764,6,,"1,482,211",2010
25,Bill Haas,87,70.308,293.3,64.17,69.92,-.065,.985,.918,"1,565",4,2,"2,905,136",2010
26,Kevin Na,94,70.314,278.6,66.46,65.89,.493,.362,.854,570,4,,"2,021,815",2010
27,Steve Elkington,74,70.318,289.2,68.01,68.71,.328,.226,.557,571,3,,"955,084",2010
28,David Toms,86,70.337,281.3,71.88,67.58,.274,.433,.693,"1,118",2,,"1,590,998",2010
29,Vijay Singh,75,70.343,292.3,63.28,68.62,-.739,1.494,.753,"1,108",2,,"1,334,262",2010
30,Brendon de Jonge,114,70.344,286.9,65.51,70.07,.000,.757,.762,"1,170",7,,"2,167,978",2010
31,Chris Riley,73,70.345,278.3,68.70,67.33,.185,.351,.538,512,3,,"1,001,582",2010
32,Rory McIlroy,54,70.351,300.0,62.64,66.24,-.225,.944,.714,"1,489",5,1,"2,554,280",2010
33,Paul Stankowski,62,70.354,290.3,65.38,70.88,.332,.233,.561,296,2,,"666,591",2010
34,Joe Durant,67,70.365,285.6,75.94,71.95,-.292,.775,.481,321,2,,"788,755",2010
35,Freddie Jacobson,83,70.367,283.1,62.16,67.80,.241,.479,.722,"1,101",3,,"1,666,252",2010
36,Spencer Levin,110,70.385,280.6,65.12,69.88,.132,.433,.564,673,3,,"1,199,672",2010
37,Bryce Molder,84,70.403,278.0,63.16,65.28,.476,.034,.507,"1,088",6,,"1,428,438",2010
38,Justin Leonard,89,70.419,277.8,69.46,65.09,.181,.356,.539,"1,096",1,,"1,026,445",2010
39,Camilo Villegas,78,70.425,289.6,61.66,66.05,-.396,1.087,.691,623,7,1,"3,035,523",2010
40,Rickie Fowler,98,70.429,292.7,64.19,69.90,.129,.665,.793,"1,564",7,,"2,857,108",2010
41,Stewart Cink,84,70.431,292.4,63.98,68.61,.190,.628,.827,"1,448",3,,"1,573,636",2010
42,Jonathan Byrd,85,70.437,290.9,61.54,70.00,.029,.491,.524,483,4,1,"1,534,981",2010
43,Adam Scott,70,70.468,294.4,62.93,69.61,-.746,1.609,.862,640,4,1,"2,489,402",2010
44,Ricky Barnes,103,70.470,285.5,58.37,68.23,.021,.580,.604,"1,027",6,,"1,835,195",2010
45,Hunter Mahan,85,70.476,291.8,67.94,68.65,.068,.596,.665,678,3,2,"3,574,550",2010
46,Jeff Overton,89,70.497,297.3,55.44,66.86,.409,.222,.630,480,6,,"3,456,356",2010
47,Shaun Micheel,70,70.499,283.2,62.67,64.61,.235,.251,.487,600,3,,"1,025,500",2010
48,Tom Gillis,97,70.514,288.7,68.54,65.98,.359,.261,.616,"1,276",3,,"1,166,146",2010
49,Zach Johnson,93,70.527,279.7,71.24,66.54,.583,.210,.792,683,3,1,"2,916,993",2010
50,Carl Pettersson,99,70.552,282.1,62.82,63.80,.818,-.263,.554,"1,332",4,1,"1,934,465",2010
51,Pat Perez,90,70.593,287.1,65.23,68.95,.379,.193,.572,581,3,,"947,588",2010
52,Chad Collins,87,70.599,275.8,60.27,63.29,.626,-.483,.143,540,3,,"815,961",2010
53,Sean O'Hair,84,70.603,289.3,63.98,68.22,-.071,.697,.615,"1,206",3,,"1,859,040",2010
54,Kevin Sutherland,86,70.604,287.9,66.89,71.96,-.094,.558,.468,499,1,,"818,682",2010
55,Matt Jones,89,70.605,293.3,57.07,65.29,.509,-.020,.495,"1,035",5,,"1,215,743",2010
56,John Senden,103,70.618,290.2,67.22,72.49,-.139,.749,.608,"1,192",2,,"1,274,058",2010
57,Ryan Moore,80,70.623,289.7,67.99,66.67,.299,.385,.687,613,6,,"2,374,823",2010
58,Chad Campbell,94,70.629,285.1,69.01,69.06,-.106,.750,.645,598,2,,"971,154",2010
59,Jeev Milkha Singh,59,70.631,287.3,60.94,65.28,-.045,.165,.118,253,1,,"420,245",2010
60,Stephen Ames,75,70.639,282.0,66.47,67.79,.375,.186,.553,866,1,,"916,527",2010
61,Briny Baird,87,70.639,282.0,65.45,69.41,-.026,.188,.169,458,1,,"753,577",2010
62,Graham DeLaet,88,70.645,305.7,64.74,71.27,-.360,.752,.396,393,3,,"954,011",2010
63,D.J. Trahan,92,70.661,301.1,61.40,71.26,-.467,.963,.494,"1,195",7,,"1,619,693",2010
64,Heath Slocum,97,70.673,278.9,72.42,69.59,-.259,.837,.580,"1,222",5,1,"2,387,687",2010
65,Webb Simpson,98,70.683,285.4,60.47,66.16,.370,-.200,.169,628,2,,"972,962",2010
66,Kevin Streelman,90,70.727,290.3,65.64,66.67,.044,.086,.130,583,5,,"1,472,349",2010
67,John Rollins,81,70.728,295.5,64.58,68.18,-.216,.710,.497,736,2,,"1,182,736",2010
68,Greg Chalmers,93,70.732,275.5,59.80,66.01,.772,-.424,.354,"1,113",2,,"989,415",2010
69,Ryuji Imada,90,70.753,278.7,63.11,64.51,.551,-.265,.286,720,4,,"1,028,869",2010
70,Brian Gay,101,70.756,266.4,74.00,63.44,.730,-.211,.518,"1,142",2,,"1,521,663",2010
71,Tom Pernice Jr.,74,70.757,280.0,66.95,69.78,-.165,.284,.121,331,1,,"662,730",2010
72,Geoff Ogilvy,62,70.764,287.0,57.94,67.69,.370,.364,.735,753,2,1,"2,393,045",2010
73,Marc Leishman,87,70.769,295.0,58.37,66.67,-.146,.563,.418,"1,268",2,,"1,488,837",2010
74,J.J. Henry,92,70.772,292.8,65.07,68.72,.217,.141,.360,603,2,,"1,035,688",2010
75,Vaughn Taylor,87,70.794,284.4,68.26,68.33,-.056,.446,.387,"1,495",6,,"1,838,861",2010
76,Ryan Palmer,84,70.824,295.8,57.23,65.48,.433,-.139,.294,595,5,1,"2,985,296",2010
77,Jarrod Lyle,54,70.835,296.2,63.40,65.34,.049,-.018,.027,227,2,,"422,760",2010
78,Scott Verplank,74,70.838,278.6,68.16,63.85,.034,.323,.360,813,3,,"1,653,190",2010
79,Kenny Perry,69,70.841,290.6,67.99,69.04,-.244,.645,.401,565,1,,"968,811",2010
80,Brett Wetterich,54,70.847,307.3,57.82,68.11,-.126,.230,.107,248,1,,"510,672",2010
81,Jeff Quinney,91,70.851,273.3,70.34,65.45,.388,-.427,-.039,378,2,,"605,866",2010
82,Boo Weekley,88,70.851,291.9,67.14,70.07,-.376,.558,.183,526,3,,"872,729",2010
83,Jason Bohn,84,70.856,279.8,66.89,67.79,.130,.303,.430,"1,079",2,1,"1,904,763",2010
84,Aron Price,70,70.856,284.6,67.23,70.49,.017,.241,.259,358,3,,"713,737",2010
85,Ben Curtis,78,70.871,275.5,70.07,68.02,.229,.004,.234,416,1,,"812,136",2010
86,Steve Marino,81,70.875,290.6,61.96,67.49,.261,.307,.567,778,3,,"1,479,239",2010
87,Alex Prugh,88,70.878,295.7,58.40,68.60,.202,-.112,.092,526,4,,"1,272,606",2010
88,Davis Love III,79,70.888,297.7,64.20,70.25,-.510,.680,.173,708,3,,"1,214,472",2010
89,Michael Sim,64,70.896,283.3,63.35,65.34,.518,-.283,.235,"1,244",3,,"1,338,926",2010
90,Michael Connell,89,70.900,281.3,63.40,66.94,.337,-.195,.142,314,2,,"846,459",2010
91,Charles Warren,64,70.917,302.5,65.93,71.74,-.411,.521,.109,116,3,,"574,616",2010
92,Will MacKenzie,72,70.918,290.8,66.33,68.52,-.448,.644,.202,267,1,,"557,504",2010
93,Ãngel Cabrera,64,70.919,304.5,54.49,65.78,-.148,.400,.249,"1,082",2,,"1,266,440",2010
94,Scott McCarron,90,70.940,288.6,67.36,65.80,.507,-.357,.155,354,1,,"642,543",2010
95,Chris Couch,66,70.948,292.4,65.87,66.50,.302,.002,.307,709,2,,"888,146",2010
96,Lucas Glover,75,70.949,295.7,62.84,67.42,-.115,.416,.297,770,3,,"1,511,275",2010
97,Michael Letzig,84,70.951,289.7,63.47,67.92,-.071,.112,.029,415,1,,"563,729",2010
