,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,SCRAMBLING_%,GIR_%,SG_TEE,SG_APPROACH,SG_SCRAMBLE,SG_PUTTING,SG_TOTAL,POINTS,TOP 10,1ST,MONEY,Year
0,Tiger Woods,64,68.05199999999999,298.4,64.29,68.18,68.46,0.335,1.3980000000000001,0.579,0.877,3.1889999999999996,4000,14,6,10508163,2009
1,Steve Stricker,81,69.286,286.1,66.82,66.46,66.67,0.275,1.018,0.327,0.207,1.828,2750,11,3,6332636,2009
2,Jim Furyk,86,69.477,279.9,69.66,64.08,65.53,-0.021,0.557,0.439,0.715,1.69,2438,11,0,3946515,2009
3,Zach Johnson,94,69.601,281.2,71.47,62.1,67.81,0.253,0.8440000000000001,0.068,0.38,1.545,2073,9,2,4714813,2009
4,Tim Clark,81,69.658,280.1,74.06,62.93,66.95,0.125,0.773,0.087,0.276,1.261,1395,5,0,2235105,2009
5,Hunter Mahan,94,69.691,297.0,65.19,58.02,68.36,0.628,0.561,-0.345,0.41,1.255,515,6,0,2941349,2009
6,David Toms,98,69.73,284.2,73.26,61.19,68.32,0.49700000000000005,0.5660000000000001,-0.006,0.09300000000000001,1.15,608,7,0,3047198,2009
7,Kenny Perry,92,69.789,293.1,67.01,63.18,67.34,0.5660000000000001,0.414,-0.042,0.268,1.206,1450,8,2,4445562,2009
8,Steve Marino,98,69.903,295.7,63.41,59.96,68.26,0.6679999999999999,0.32299999999999995,-0.081,0.11,1.02,698,5,0,2161539,2009
9,Sean O'Hair,80,69.947,293.3,61.6,57.5,67.84,0.539,0.7959999999999999,-0.038,-0.127,1.17,2200,9,1,4316493,2009
10,Retief Goosen,74,69.961,292.3,59.59,59.8,62.33,0.253,0.17800000000000002,0.11,0.47,1.011,640,5,1,3232650,2009
11,Lucas Glover,93,69.97,297.4,65.49,58.09,65.65,0.638,0.138,-0.157,0.149,0.768,660,6,1,3692580,2009
12,Luke Donald,79,70.012,275.7,62.5,62.85,63.01,-0.54,0.426,0.249,0.934,1.069,458,6,0,2174947,2009
