,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,SCRAMBLING_%,GIR_%,SG_TEE,SG_APPROACH,SG_SCRAMBLE,SG_PUTTING,SG_TOTAL,POINTS,TOP 10,1ST,MONEY,Year
0,Tiger Woods,64,68.052,298.4,64.29,68.18,68.46,.335,1.398,.579,.877,3.189,"4,000",14,6,"$10,508,163",2009
1,Steve Stricker,81,69.286,286.1,66.82,66.46,66.67,.275,1.018,.327,.207,1.828,"2,750",11,3,"$6,332,636",2009
2,Jim Furyk,86,69.477,279.9,69.66,64.08,65.53,-.021,.557,.439,.715,1.690,"2,438",11,,"$3,946,515",2009
3,Zach Johnson,94,69.601,281.2,71.47,62.10,67.81,.253,.844,.068,.380,1.545,"2,073",9,2,"$4,714,813",2009
4,Tim Clark,81,69.658,280.1,74.06,62.93,66.95,.125,.773,.087,.276,1.261,"1,395",5,,"$2,235,105",2009
5,Hunter Mahan,94,69.691,297.0,65.19,58.02,68.36,.628,.561,-.345,.410,1.255,515,6,,"$2,941,349",2009
6,David Toms,98,69.730,284.2,73.26,61.19,68.32,.497,.566,-.006,.093,1.150,608,7,,"$3,047,198",2009
7,Kenny Perry,92,69.789,293.1,67.01,63.18,67.34,.566,.414,-.042,.268,1.206,"1,450",8,2,"$4,445,562",2009
8,Steve Marino,98,69.903,295.7,63.41,59.96,68.26,.668,.323,-.081,.110,1.020,698,5,,"$2,161,539",2009
9,Sean O'Hair,80,69.947,293.3,61.60,57.50,67.84,.539,.796,-.038,-.127,1.170,"2,200",9,1,"$4,316,493",2009
10,Retief Goosen,74,69.961,292.3,59.59,59.80,62.33,.253,.178,.110,.470,1.011,640,5,1,"$3,232,650",2009
11,Lucas Glover,93,69.970,297.4,65.49,58.09,65.65,.638,.138,-.157,.149,.768,660,6,1,"$3,692,580",2009
12,Luke Donald,79,70.012,275.7,62.50,62.85,63.01,-.540,.426,.249,.934,1.069,458,6,,"$2,174,947",2009
13,Scott Verplank,88,70.037,281.1,71.40,59.32,67.00,.229,.621,.006,.031,.887,"1,245",6,,"$2,092,114",2009
14,Sergio Garcia,59,70.056,298.5,59.61,57.94,65.61,.460,.650,-.282,-.065,.763,"1,379",3,,"$1,212,522",2009
15,John Senden,100,70.057,294.2,64.83,56.87,70.89,.443,.606,-.028,.038,1.060,560,7,,"$2,305,492",2009
16,Robert Allenby,71,70.067,293.1,66.94,60.45,68.10,.493,1.015,.110,-.631,.987,"1,326",3,,"$1,890,946",2009
17,Nick Watney,86,70.071,305.3,57.81,58.67,66.09,.732,.345,-.201,.237,1.113,748,4,1,"$3,221,421",2009
18,Justin Leonard,95,70.094,283.5,68.81,59.81,67.03,.008,.547,.310,.087,.951,"1,371",6,,"$2,232,378",2009
19,Ian Poulter,59,70.101,282.8,65.18,65.14,61.01,.222,.240,.650,.094,1.206,"1,532",5,,"$2,431,001",2009
20,Matt Kuchar,82,70.112,283.2,65.99,65.91,64.23,.120,.052,.289,.698,1.158,"1,364",5,1,"$2,489,193",2009
21,Jerry Kelly,90,70.119,284.7,64.80,61.30,64.63,.062,.165,.226,.327,.780,570,6,1,"$2,562,648",2009
22,Kevin Na,91,70.128,282.7,63.41,64.82,64.24,-.141,.273,.330,.477,.938,545,9,,"$2,724,825",2009
23,Jason Day,61,70.132,295.3,60.22,61.90,64.78,.323,.031,.016,.500,.871,"1,213",2,,"$1,251,219",2009
24,Ãngel Cabrera,55,70.175,304.1,51.46,57.38,62.35,.372,.295,-.296,.172,.544,558,3,1,"$2,625,472",2009
25,Bryce Molder,69,70.208,283.1,66.00,61.77,67.12,-.321,-.005,.112,.747,.533,894,3,,"$1,381,211",2009
26,Ernie Els,70,70.212,291.2,64.87,60.05,66.08,.397,.722,.196,-.394,.921,690,7,,"$2,147,157",2009
27,Phil Mickelson,66,70.218,300.1,52.21,57.53,64.29,.312,.268,.383,-.146,.816,"2,920",7,3,"$5,332,755",2009
28,George McNeill,82,70.228,292.0,60.50,62.14,63.68,-.020,.203,.112,.408,.702,480,3,,"$1,439,220",2009
29,Mike Weir,85,70.228,279.3,63.26,63.15,63.03,-.276,.229,.358,.469,.780,468,6,,"$2,379,422",2009
30,Padraig Harrington,66,70.229,285.8,55.12,63.66,61.20,-.315,.471,.577,.477,1.210,"2,050",6,,"$2,628,377",2009
31,Stephen Ames,77,70.248,287.4,65.23,55.96,67.70,.214,.236,-.132,.436,.754,"1,102",5,1,"$2,131,538",2009
32,Camilo Villegas,76,70.290,293.0,61.31,56.85,66.67,.427,.474,.128,-.203,.825,"1,336",4,,"$1,804,981",2009
33,Jason Dufner,90,70.307,286.2,67.28,60.74,66.93,.323,.313,.016,-.028,.624,855,6,,"$2,190,792",2009
34,Mark Wilson,99,70.313,284.3,69.09,62.83,66.49,.147,-.174,.194,.386,.552,"1,438",3,1,"$1,838,414",2009
35,Geoff Ogilvy,78,70.316,291.5,58.40,59.83,64.27,.258,-.020,.329,.493,1.060,713,5,2,"$3,866,270",2009
36,Bo Van Pelt,100,70.357,292.5,65.62,60.44,66.73,.387,.082,-.042,.275,.701,"1,195",5,1,"$1,945,307",2009
37,J.J. Henry,97,70.362,293.7,61.30,58.43,68.10,.030,.125,.084,.114,.352,709,3,,"$1,161,641",2009
38,Ben Crane,93,70.376,285.0,67.75,62.07,64.87,.282,-.038,.100,.431,.775,996,4,,"$1,667,085",2009
39,Justin Rose,71,70.389,288.1,64.80,58.51,65.95,.189,.093,.113,.111,.506,704,2,,"$1,125,518",2009
40,Brian Gay,96,70.400,268.5,72.24,64.79,62.44,-.322,-.032,.259,.726,.632,573,4,2,"$3,201,295",2009
41,Dustin Johnson,85,70.414,308.3,55.40,55.95,66.07,.509,.175,.137,.031,.853,700,5,1,"$2,977,901",2009
42,Boo Weekley,79,70.427,291.7,68.37,55.22,66.81,.721,.301,.011,-.528,.505,802,1,,"$1,107,448",2009
43,Nick O'Hern,90,70.429,277.0,69.06,59.61,66.73,-.205,.451,.070,.006,.322,512,2,,"$1,074,215",2009
44,Chad Campbell,90,70.430,291.0,63.50,59.75,69.19,-.057,.635,-.006,.030,.602,"1,043",3,,"$1,725,237",2009
45,Charley Hoffman,97,70.438,300.8,57.59,58.97,66.78,.405,.235,-.128,.096,.609,"1,393",4,,"$1,894,925",2009
46,Charles Howell III,99,70.459,292.7,58.87,57.33,67.09,.130,.141,.360,-.030,.601,"1,202",3,,"$1,804,460",2009
47,Y.E. Yang,83,70.460,291.3,60.56,58.42,66.17,.170,.386,-.108,-.065,.383,565,4,2,"$3,489,516",2009
48,Stewart Cink,79,70.465,294.7,58.58,57.50,63.47,.098,-.041,-.110,.340,.287,505,4,1,"$2,821,030",2009
49,Brandt Snedeker,81,70.474,277.3,69.95,62.60,63.92,-.037,.030,.069,.761,.823,"1,435",5,,"$1,483,557",2009
50,Greg Chalmers,85,70.507,284.2,63.74,60.67,65.51,-.221,-.186,.118,.698,.409,696,2,,"$1,058,286",2009
51,Anthony Kim,76,70.507,299.0,53.65,57.14,62.69,.115,.100,.019,.245,.479,"1,420",3,,"$1,972,155",2009
52,Woody Austin,84,70.527,286.9,63.76,61.64,65.34,-.036,.467,.102,.019,.552,892,3,,"$1,137,331",2009
53,Bill Haas,91,70.530,298.3,62.81,59.49,67.37,.535,-.126,.011,.036,.455,"1,362",4,,"$1,425,418",2009
54,Chris Riley,77,70.535,278.5,71.49,64.00,64.79,-.342,-.246,.728,.346,.486,489,1,,"$630,417",2009
55,Harrison Frazar,93,70.538,301.0,54.32,56.55,65.67,-.056,.089,-.045,.322,.311,483,1,,"$738,615",2009
56,Rory Sabbatini,81,70.544,293.2,57.89,56.85,65.56,.299,.452,.284,-.322,.713,"1,426",4,1,"$2,752,291",2009
57,Davis Love III,89,70.550,299.9,58.97,57.53,66.92,.384,.378,-.004,-.274,.485,"1,166",2,,"$1,622,401",2009
58,Kevin Sutherland,96,70.561,289.1,62.59,58.88,66.73,.233,.013,.175,.270,.692,"1,276",2,,"$1,218,605",2009
59,Bob Estes,78,70.568,282.6,67.99,62.15,64.25,-.128,.131,.212,.313,.528,824,2,,"$1,079,929",2009
60,Marc Leishman,91,70.587,298.6,59.44,57.39,67.18,.163,.239,-.190,.141,.353,593,3,,"$1,742,243",2009
61,Kevin Streelman,97,70.591,296.5,61.16,54.03,66.61,.437,-.012,-.261,.121,.284,758,2,,"$1,007,444",2009
62,Ryan Moore,89,70.598,295.9,65.46,61.20,66.14,.260,.017,-.180,.347,.444,"1,215",6,1,"$2,222,871",2009
63,Rod Pampling,72,70.607,288.1,63.81,59.40,65.88,.183,.023,.350,.127,.684,592,3,,"$956,897",2009
